,year,center_s_lat,center_s_lon,center_b_lat,center_b_lon
0,2013,23.73355120311764,121.71723326075643,23.806293992616375,121.46207773761553
1,2014,23.856496309334904,121.61396899936538,23.788661039687607,121.64439917526659
2,2015,23.86861494321802,121.75741714022064,23.960147254157622,121.65165446952447
3,2016,23.925884162579635,121.73935046916883,23.687539964871007,121.47130744630212
4,2017,23.4754587399947,121.27752342785939,23.658890825832092,121.3701513350677
5,2018,23.904659562193988,121.48305120045171,23.80608269929293,121.51169122048292
6,2019,23.6273305485924,121.58137425586716,23.861930485436954,121.476852079123
7,2020,23.608744390041974,121.61527611644557,23.60867177945428,121.44735642801277
8,2021,23.84873167791748,121.64559490452852,23.713271365460493,121.5840307905005
9,2022,23.329544322032636,121.41229106352486,23.5837842964991,121.616835744942
10,2023,23.122722858102854,121.45410533069398,23.746276363692278,121.74369806254141
