Location,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Alishan,6.5,7.3,9.5,11.5,13.1,14.4,14.7,14.6,14,12.4,10.7,8,11.4
Anbu,10.3,11.2,13.2,16.6,19.6,22.2,23.4,23,21.1,17.9,15.4,11.8,17.1
Chenggong,19,19.4,20.9,23.2,25.4,27.3,28.1,27.9,27,25.2,22.9,20.2,23.9
Chiayi,16.8,17.7,20.2,23.5,26.3,28.3,28.9,28.4,27.4,24.8,22,18.4,23.6
Tamsui,15.4,15.7,17.7,21.4,24.7,27.3,29,28.7,26.9,23.6,21,17.3,22.4
Dawu,20.5,21,22.5,24.7,26.6,28.3,28.7,28.2,27.4,26,24.2,21.6,25
Dongjidao,18.1,18.5,20.7,23.6,26,27.8,28.7,28.4,27.6,25.5,23.1,19.9,24
Hengchun,21.1,21.7,23.3,25.4,27.3,28.4,28.7,28.3,27.8,26.5,24.7,22.2,25.5
Hsinchu,15.7,16,18,21.9,25.2,27.9,29.3,28.9,27.3,24.4,21.5,17.7,22.8
Hualien,18.3,18.7,20.3,22.8,25.3,27.5,28.7,28.4,27,24.9,22.5,19.7,23.7
Kaohsiung,19.7,20.7,23,25.7,27.8,28.9,29.4,28.9,28.5,26.9,24.5,21.2,25.4
Keelung,16.1,16.4,18.1,21.6,24.8,27.6,29.5,29.1,27.2,24.2,21.5,18,22.8
Lanyu,18.6,19,20.4,22.3,24.3,25.9,26.2,26,25.3,23.7,21.9,19.5,22.8
Penghu,17.1,17.4,19.9,23.2,25.9,27.9,28.9,28.6,28,25.5,22.7,19.1,23.7
Pengjiayu,15.8,16.2,17.7,20.7,23.6,26.3,28.1,28,26.4,23.8,21.1,17.6,22.1
Su-ao,16.6,17.2,19,21.8,24.6,27.3,28.8,28.5,26.8,24,21.2,18,22.8
Sun Moon Lake,14.4,15.2,16.9,19.2,21.1,22.3,22.9,22.7,22.2,20.6,18.6,15.6,19.3
Taichung,17,17.7,20.1,23.5,26.4,28.1,28.9,28.4,27.8,25.5,22.6,18.7,23.7
Tainan,17.8,18.9,21.6,24.9,27.5,28.9,29.4,28.9,28.6,26.3,23.4,19.6,24.7
Taipei,16.6,17.2,19,22.5,25.8,28.3,30.1,29.7,27.8,24.7,22,18.2,23.5
Taitung,19.7,20.2,21.8,24.1,26.4,28.3,29.1,28.8,27.7,25.8,23.6,20.8,24.7
Wuqi,16.1,16.4,18.9,22.7,25.8,28.1,29.2,28.9,27.6,24.7,21.8,18.1,23.2
Yilan,16.6,17.1,19,21.9,24.7,27.3,28.9,28.6,26.8,23.8,21.1,17.9,22.8
Yushan,-0.5,-0.2,1.4,3.6,6,7.4,8,7.8,7.4,6.6,4.1,1.2,4.4
Zhuzihu,12,12.8,14.8,18.2,21.3,23.7,25,24.7,22.9,19.8,17.2,13.5,18.8
Average,15.812,16.376,18.316,21.22,23.82,25.828,26.824,26.496,25.38,23.084,20.612,17.352,
